time:2018-01-19 16:21:30  caffe_model:/home/lzhpc/CODE/ProfileNet/model/temp_iter_10000.caffemodel

BQ current_sum:832 current_error_number:0 current_acc:1.000000

True:JGTH Predict:ZC /home/lzhpc/CODE/ProfileNet/data3/image_val/JGTH/01-13-53-100-110-camra2 (2)_f.bmp
True:JGTH Predict:ZC /home/lzhpc/CODE/ProfileNet/data3/image_val/JGTH/01-13-53-100-110-camra2 (3)_f.bmp
True:JGTH Predict:ZC /home/lzhpc/CODE/ProfileNet/data3/image_val/JGTH/01-13-53-100-110-camra2 (1)_f.bmp
True:JGTH Predict:ZC /home/lzhpc/CODE/ProfileNet/data3/image_val/JGTH/01-13-53-100-110-camra2_f.bmp
JGTH current_sum:812 current_error_number:4 current_acc:0.995074

True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (15).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (5)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (16).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (10)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (11)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (9)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (12)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (8).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (1).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (31).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (13)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (14).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (18)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (23)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (6)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (16)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (23)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (24)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (2).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (30).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (3)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (19)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (7)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (20).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (4).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (30)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (12).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (1)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (27)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (31)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (8)_f.bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-13-50-960-3-camra2 (6).bmp
True:ZD Predict:NORMAL /home/lzhpc/CODE/ProfileNet/data3/image_val/ZD/01-23-36-320-85-camra1 (17)_f.bmp
